
Aguascalientes,Ags,AG,AGU
Baja California,BC,BC,BCN
Baja California Sur,BCS,BS,BCS
Campeche,Camp,CM,CAM
Chiapas,Chis,CS,CHP
Chihuahua,Chih,CH,CHH
Coahuila,Coah,CO,COA
Colima,Col,CL,COL
Distrito Federal,DF,DF,DIF
Durango,Dgo,DG,DUR
Guanajuato,Gto,GT,GUA
Guerrero,Gro,GR,GRO
Hidalgo,Hgo,HG,HID
Jalisco,Jal,JC,JAL
Estado de Mexico,Mex,ME,MEX
Michoacan,Mich,MN,MIC
Morelos,Mor,MS,MOR
Nayarit,Nay,NT,NAY
Nuevo León,NL,NL,NLE
Oaxaca,Oax,OC,AC
Puebla,Pue,PL,PUE
Querétaro,Qro,QO,QUE
Quintana Roo,QRoo,QR,ROO
San Luis Potosi,SLP,SP,SLP
Sinaloa,Sin,SL,SIN
Sonora,Son,SR,SON
Tabasco,Tab,TC,TAB
Tamaulipas,Tamps,TS,TAM
Tlaxcala,Tlax,TL,TLA
Veracruz,Ver,VZ,VER
Yucatan,Yuc,YN,YUC
Zacatecas,Zac,ZS,ZAC
